[2025-05-18 02:34:07] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:09] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:11] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:13] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:15] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:17] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:19] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:21] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:23] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:25] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
[2025-05-18 02:34:27] [Dashboard] [INFO] Last 5 entries: [{'sensor_id': 'S42', 'timestamp': 1747517941.3675818, 'temperature': 22.99, 'humidity': 58.16}, {'sensor_id': 'S42', 'timestamp': 1747517942.370704, 'temperature': 16.45, 'humidity': 52.0}, {'sensor_id': 'S42', 'timestamp': 1747517943.3749409, 'temperature': 15.24, 'humidity': 37.77}, {'sensor_id': 'S42', 'timestamp': 1747517944.3797, 'temperature': 29.41, 'humidity': 54.58}, {'sensor_id': 'S42', 'timestamp': 1747517945.387588, 'temperature': 28.27, 'humidity': 63.4}]
